x,y,t,z,f
3.514904260635375977e+00,1.605841755867004395e+00,3.663672208786010742e+00,3.358677923679351807e-01,2.165785551071166992e+00
1.945493817329406738e+00,1.016698002815246582e+00,1.619146943092346191e+00,2.690164089202880859e+00,2.255814313888549805e+00
1.371651053428649902e+00,3.880519390106201172e+00,3.729473114013671875e+00,2.711978197097778320e+00,3.263340950012207031e+00
2.809140682220458984e+00,2.287731409072875977e+00,1.314162731170654297e+00,3.134594678878784180e+00,1.969702482223510742e+00
6.090945601463317871e-01,3.531668424606323242e+00,7.016022801399230957e-01,2.564618587493896484e+00,3.118922948837280273e+00
3.807773351669311523e+00,3.127005815505981445e+00,1.962635040283203125e+00,3.986822366714477539e+00,1.464707970619201660e+00
3.283077001571655273e+00,3.148930549621582031e+00,4.002232104539871216e-02,1.824153304100036621e+00,2.311136722564697266e+00
6.585156917572021484e-01,2.898796319961547852e+00,3.450492382049560547e+00,2.412888526916503906e+00,3.415667533874511719e+00
3.662919282913208008e+00,3.226227998733520508e+00,3.507797241210937500e+00,6.215180754661560059e-01,2.874199390411376953e+00
1.836113333702087402e+00,2.088840901851654053e-01,2.928527593612670898e+00,2.157137632369995117e+00,2.562358379364013672e+00
1.811427712440490723e+00,2.061424970626831055e+00,3.755245685577392578e+00,3.533296823501586914e+00,1.809512972831726074e+00
2.708867073059082031e+00,2.008877754211425781e+00,1.278182744979858398e+00,2.211014509201049805e+00,2.689611196517944336e+00
2.063327789306640625e+00,1.849338889122009277e+00,3.985703229904174805e+00,7.820850610733032227e-01,2.790394544601440430e+00
2.992988109588623047e+00,3.111531496047973633e+00,3.749310970306396484e+00,5.187977552413940430e-01,2.816387176513671875e+00
8.283972740173339844e-01,4.576294124126434326e-01,3.150154829025268555e+00,1.415583848953247070e+00,3.034039258956909180e+00
3.124763488769531250e+00,6.944118738174438477e-01,1.431273937225341797e+00,1.139357328414916992e+00,2.451571464538574219e+00
3.821610450744628906e+00,2.506623983383178711e+00,3.494403839111328125e+00,3.904463052749633789e+00,1.370318770408630371e+00
1.221079111099243164e+00,2.567156076431274414e+00,8.589671254158020020e-01,3.616582870483398438e+00,1.714423537254333496e+00
7.884770035743713379e-01,1.760363221168518066e+00,3.480008244514465332e-01,3.236598253250122070e+00,1.619889736175537109e+00
1.923038244247436523e+00,2.936039209365844727e+00,2.752408504486083984e+00,3.492319583892822266e+00,2.074308395385742188e+00
3.729938268661499023e+00,1.212020635604858398e+00,1.419765472412109375e+00,2.161713600158691406e+00,2.439528703689575195e+00
1.652682781219482422e+00,2.482124090194702148e+00,2.178310871124267578e+00,3.208543539047241211e+00,2.253467559814453125e+00
3.895080566406250000e+00,2.266167879104614258e+00,2.552580595016479492e+00,5.922566056251525879e-01,2.534557580947875977e+00
7.188235223293304443e-02,3.305090904235839844e+00,5.441504120826721191e-01,5.843423008918762207e-01,3.170837402343750000e+00
3.428098857402801514e-01,2.048218965530395508e+00,3.288805186748504639e-01,2.401421070098876953e+00,2.618857860565185547e+00
2.281600981950759888e-01,3.294141054153442383e+00,3.305584907531738281e+00,2.824611663818359375e+00,3.356108427047729492e+00
2.877871036529541016e+00,3.076885342597961426e-01,2.316457986831665039e+00,3.632551908493041992e+00,1.103019952774047852e+00
1.151675939559936523e+00,3.778143882751464844e+00,2.670850157737731934e-01,7.757730484008789062e-01,2.834038734436035156e+00
9.702462553977966309e-01,4.558720588684082031e-01,2.633936405181884766e+00,3.078979253768920898e-01,2.296893358230590820e+00
1.136567115783691406e+00,3.007471323013305664e+00,1.257269501686096191e+00,3.607466459274291992e+00,2.033182859420776367e+00
1.572455167770385742e-01,1.060557603836059570e+00,3.400271415710449219e+00,2.750214561820030212e-02,2.477251052856445312e+00
2.645929098129272461e+00,3.006659448146820068e-02,3.600895166397094727e+00,2.342193126678466797e+00,2.280971288681030273e+00
1.887003540992736816e+00,3.101693391799926758e+00,1.995311021804809570e+00,6.675672531127929688e-01,3.066724538803100586e+00
1.097522258758544922e+00,1.395516157150268555e+00,2.613692522048950195e+00,3.260696887969970703e+00,2.058868646621704102e+00
2.289454936981201172e+00,9.229879379272460938e-01,3.528327465057373047e+00,3.285044670104980469e+00,1.668315172195434570e+00
1.083579063415527344e+00,2.139248609542846680e+00,2.817213773727416992e+00,3.878836154937744141e+00,1.712197780609130859e+00
8.927479386329650879e-01,2.736720323562622070e+00,1.311655521392822266e+00,4.814183413982391357e-01,2.951027631759643555e+00
2.212677001953125000e+00,1.693615615367889404e-01,2.191920280456542969e+00,3.669079542160034180e+00,1.130350232124328613e+00
3.919370889663696289e+00,2.610779047012329102e+00,5.380920693278312683e-02,3.650378704071044922e+00,6.533903479576110840e-01
2.768449544906616211e+00,3.662985563278198242e+00,2.425081729888916016e+00,1.583524346351623535e+00,3.507952213287353516e+00
4.495383426547050476e-02,3.300561904907226562e+00,1.084089159965515137e+00,8.401883244514465332e-01,3.674189329147338867e+00
3.473794460296630859e+00,3.805529117584228516e+00,3.098413050174713135e-01,3.569095134735107422e+00,1.381368875503540039e+00
3.464949607849121094e+00,2.067914247512817383e+00,1.053245663642883301e+00,6.080406904220581055e-01,2.321094512939453125e+00
3.677472352981567383e+00,3.254538297653198242e+00,1.088959217071533203e+00,1.089501261711120605e+00,2.984347581863403320e+00
2.586656808853149414e+00,3.464332580566406250e+00,3.360594272613525391e+00,2.258013963699340820e+00,3.253951787948608398e+00
3.305114507675170898e+00,3.902022838592529297e+00,1.598870038986206055e+00,2.442639589309692383e+00,3.107875823974609375e+00
3.178282976150512695e+00,1.126663565635681152e+00,1.980835556983947754e+00,5.447179675102233887e-01,2.228581190109252930e+00
5.315088033676147461e-01,2.355373382568359375e+00,3.390446901321411133e+00,1.787791848182678223e+00,3.612209558486938477e+00
2.547812461853027344e+00,3.752885162830352783e-01,3.576144456863403320e+00,3.179428815841674805e+00,1.611363768577575684e+00
1.231948733329772949e+00,1.858188062906265259e-01,1.464173913002014160e+00,2.651281118392944336e+00,2.240476846694946289e+00
6.854425668716430664e-01,6.304999589920043945e-01,3.314619779586791992e+00,9.984391331672668457e-01,2.975000619888305664e+00
1.867378473281860352e+00,1.787182092666625977e+00,1.280300617218017578e+00,1.434218734502792358e-01,2.105744838714599609e+00
1.972000241279602051e+00,5.940472483634948730e-01,9.825822114944458008e-01,1.012895464897155762e+00,2.394613742828369141e+00
3.351496934890747070e+00,1.482192993164062500e+00,1.519297838211059570e+00,9.283926337957382202e-02,1.821344137191772461e+00
7.450118064880371094e-01,2.004221677780151367e+00,2.648699045181274414e+00,2.969872713088989258e+00,2.622189521789550781e+00
3.088677406311035156e+00,1.774980783462524414e+00,1.199411511421203613e+00,3.631437301635742188e+00,1.286312937736511230e+00
1.897049188613891602e+00,2.498927354812622070e+00,3.772027492523193359e+00,2.686691761016845703e+00,2.738575458526611328e+00
2.386610031127929688e+00,1.589455842971801758e+00,2.738312959671020508e+00,1.156317114830017090e+00,2.870948553085327148e+00
4.359402358531951904e-01,3.889682769775390625e+00,2.287258148193359375e+00,8.193699121475219727e-01,3.861776828765869141e+00
1.264221221208572388e-01,3.441534996032714844e+00,2.068089246749877930e+00,3.728090524673461914e+00,2.555534124374389648e+00
1.366536498069763184e+00,3.024295806884765625e+00,2.849592685699462891e+00,3.996150016784667969e+00,1.814768195152282715e+00
1.089491724967956543e+00,7.951772212982177734e-01,3.947590291500091553e-01,2.064690589904785156e+00,2.300714015960693359e+00
2.583477735519409180e+00,1.169320106506347656e+00,8.929454684257507324e-01,3.893395662307739258e+00,8.587928414344787598e-01
1.344047784805297852e+00,9.537504911422729492e-01,3.828115701675415039e+00,4.686189591884613037e-01,2.463363647460937500e+00
1.112979769706726074e+00,1.135305523872375488e+00,2.274332761764526367e+00,3.001686811447143555e+00,2.237494707107543945e+00
1.856064349412918091e-01,3.437421798706054688e+00,2.096268832683563232e-01,3.390197277069091797e+00,2.072318077087402344e+00
5.171015262603759766e-01,2.876660346984863281e+00,1.763668775558471680e+00,2.335098981857299805e+00,3.462531328201293945e+00
1.492744445800781250e+00,2.479975968599319458e-01,2.906044960021972656e+00,2.553184986114501953e+00,2.367132186889648438e+00
7.748885750770568848e-01,4.903697073459625244e-01,2.377431154251098633e+00,1.432145357131958008e+00,3.048142910003662109e+00
9.532496929168701172e-01,2.116607189178466797e+00,2.192162513732910156e+00,2.344208240509033203e+00,3.115285873413085938e+00
3.843970537185668945e+00,3.737972497940063477e+00,3.136689186096191406e+00,6.019082292914390564e-02,2.500187635421752930e+00
3.201089620590209961e+00,1.450387477874755859e+00,8.296486139297485352e-01,1.657858729362487793e+00,2.503006219863891602e+00
2.099434614181518555e+00,3.791249275207519531e+00,5.088689327239990234e-01,2.314100712537765503e-01,2.363373756408691406e+00
